id	date	time	dateTime	site	type	si	no2	nn	no3	nh4	po4	notes	rDateTime	precipitation
93	11/25/2019	10:55:00	11/25/2019 10:55	Star	np	3	0.06	0.25	0.19	NA	0.29	NA	11/25/2019 10:55	dry
95	11/25/2019	11:28:00	11/25/2019 11:28	S Mac	np	1.4	0.12	0.86	0.74	NA	0.24	NA	11/25/2019 11:28	dry
97	12/18/2019	8:29:00	12/18/2019 8:29	Emerald	np	4.644	0.028	0.434	0.41	NA	0.345	NA	12/18/2019 8:29	dry
99	12/18/2019	9:43:00	12/18/2019 9:43	N Mac	np	9.874	0.179	1.046	0.87	NA	0.179	NA	12/18/2019 9:43	dry
101	12/18/2019	10:14:00	12/18/2019 10:14	Star	np	9.345	0.246	1.148	0.9	NA	0.134	NA	12/18/2019 10:14	dry
103	12/18/2019	10:34:00	12/18/2019 10:34	S Mac	np	5.38	0.137	0.966	0.83	NA	0.109	NA	12/18/2019 10:34	dry
113	2/14/2020	13:50:00	2/14/2020 13:50	Emerald	np	1.224	0.023	0.108	0.085	NA	0.316	NA	2/14/2020 13:50	dry
115	2/14/2020	15:33:00	2/14/2020 15:33	N Mac	np	5.437	0.053	0.487	0.434	NA	0.108	NA	2/14/2020 15:33	dry
117	2/14/2020	16:25:00	2/14/2020 16:25	Star	np	3.956	0.086	0.639	0.553	NA	0.439	NA	2/14/2020 16:25	dry
119	2/14/2020	17:44:00	2/14/2020 17:44	S Mac	np	3.681	0.099	1.246	1.147	NA	0.035	NA	2/14/2020 17:44	dry
121	6/25/2020	10:26:00	6/25/2020 10:26	Emerald	np	1.296	0.022	0.335	0.313	NA	0.068	NA	6/25/2020 10:26	wet
123	6/25/2020	11:30:00	6/25/2020 11:30	N Mac	np	3.253	0.105	1.276	1.171	NA	0.04	NA	6/25/2020 11:30	wet
125	6/25/2020	12:05:00	6/25/2020 12:05	Star	np	1.801	0.068	0.786	0.718	NA	0.098	NA	6/25/2020 12:05	wet
127	6/25/2020	12:45:00	6/25/2020 12:45	S Mac	np	1.745	0.065	0.621	0.556	NA	0.033	NA	6/25/2020 12:45	wet
129	7/1/2020	10:31:00	7/1/2020 10:31	Emerald	np	1.423	0.017	0.225	0.208	NA	0.161	NA	7/1/2020 10:31	wet
131	7/1/2020	11:07:00	7/1/2020 11:07	N Mac	np	4.988	0.082	0.966	0.884	NA	0.061	NA	7/1/2020 11:07	wet
133	7/1/2020	11:40:00	7/1/2020 11:40	Star	np	3.009	0.051	0.456	0.405	NA	0.028	NA	7/1/2020 11:40	wet
