"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Location_Compare","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk2758_pilon.31",269.854936763851,-1.5630395556932,0.553305089180728,-2.824914475317,0.00472932376017177,0.0190094247243268,"NurseryvsCCC",0,299,955,928,502,446,1029,407,312,221,842,212,320,49,0,265
"Acerv_evm.model.Segkk2762_pilon.16",126.686726674469,1.24264053801932,0.465696366783804,2.66834922205052,0.00762249830128286,0.0277476463094493,"NurseryvsCCC",1,354,353,286,254,52,10,84,518,454,513,422,416,159,0,221
"Acerv_evm.model.Segkk2779_pilon.11",284.080950454007,-2.61425971069513,0.6200774839541,-4.2160210269603,2.4865058607584e-05,0.000570054491781278,"NurseryvsCCC",0,186,2085,899,1089,1336,303,1137,300,188,362,74,36,56,0,230
"Acerv_evm.model.Segkk2782_pilon.35",174.595535580147,-1.73001466984197,0.601500521584148,-2.87616487062339,0.00402539395068515,0.0167577984749547,"NurseryvsCCC",0,81,494,562,410,571,429,595,259,93,626,153,89,83,0,91
"Acerv_evm.model.Segkk2784_pilon.2",74.1699991884703,-1.35701787675165,0.574434112827913,-2.36235600645497,0.0181591943768342,0.0497369084923025,"NurseryvsCCC",0,46,371,413,449,44,202,115,42,102,395,96,15,14,0,61
"Acerv_evm.model.Segkk2795_pilon.11",831.360750647377,-3.27383472138,0.589282691187646,-5.55562681602252,2.76617296446397e-08,3.80502458889599e-06,"NurseryvsCCC",25,6546,5544,3131,671,569,1656,2411,423,840,227,151,182,126,0,357
"Acerv_evm.model.Segkk2808_pilon.19",235.962644416377,-2.54246202691167,0.608686177718884,-4.17696691658059,2.95421973389419e-05,0.000630573108717415,"NurseryvsCCC",6,123,1331,776,929,556,496,478,157,73,471,277,50,3,0,238
"Acerv_evm.model.Segkk2808_pilon.18",268.776094987239,-1.64537544997253,0.466325948164744,-3.52838064544342,0.000418110450696116,0.00375087491276661,"NurseryvsCCC",3,316,1280,1033,863,456,554,864,190,260,1053,242,272,43,0,326
"Acerv_evm.model.Segkk2811_pilon.6",89.8823931177711,-2.09271940811391,0.453293972975589,-4.61669365329641,3.8990218036876e-06,0.000120674724824131,"NurseryvsCCC",0,39,790,498,270,18,309,350,64,79,197,101,50,7,0,17
"Acerv_evm.model.Segkk2821_pilon.14",77.5534712679043,-1.45662616714812,0.425487793907268,-3.42342644843432,0.000618369836692173,0.00500910087782996,"NurseryvsCCC",0,175,520,497,304,34,124,393,36,147,212,128,77,15,0,63
"Acerv_evm.model.Segkk2826_pilon.23",3232.44616460427,1.88522623492077,0.754992332356464,2.49701374984385,0.0125244100294196,0.0386116690547246,"NurseryvsCCC",4,10567,6936,5927,4877,31,4,1298,11516,9124,15182,16109,12410,5593,38,4645
"Acerv_evm.model.Segkk2834_pilon.1",116.020601914083,-1.58800217184452,0.576189758745483,-2.75604025885849,0.00585057954045785,0.0224938430779094,"NurseryvsCCC",0,46,268,440,279,103,463,407,150,149,459,97,93,7,0,67
"Acerv_evm.model.Segkk2871_pilon.4",58.9431148159649,-1.58210784189574,0.651083489621132,-2.42996154428117,0.0151004249286476,0.044090391654872,"NurseryvsCCC",0,27,213,419,233,175,31,353,17,24,196,88,10,9,0,166
"Acerv_evm.model.Segkk2887_pilon.9",213.907597734636,-1.84334443387901,0.692157620710996,-2.66318592575127,0.00774046324857797,0.0278566671562195,"NurseryvsCCC",0,127,648,556,224,279,1152,280,115,331,283,117,36,31,0,174
"Acerv_evm.model.Segkk2889_pilon.3",102.825322721225,-2.0287619168703,0.686004533812758,-2.95735934221106,0.00310286279300214,0.0144411433749498,"NurseryvsCCC",0,15,214,197,176,347,312,505,74,127,97,27,93,18,0,157
"Acerv_evm.model.Segkk2893_pilon.2",222.205940839175,-1.77797168038622,0.59512612343965,-2.98755441974228,0.00281219223580916,0.0134941627439215,"NurseryvsCCC",6,106,606,739,529,489,479,596,282,149,397,92,80,30,0,526
"Acerv_evm.model.Segkk2898_pilon.10",953.556108034878,-1.80942180412477,0.704775058904952,-2.56737491099099,0.0102471753687987,0.0337943020217552,"NurseryvsCCC",29,451,1263,1082,925,1848,2694,1730,481,189,917,407,375,108,58,234
"Acerv_evm.model.Segkk2922_pilon.4",63.7163287532314,-1.89928393828298,0.674386466271122,-2.81631383972556,0.00485781867865668,0.0193375547401189,"NurseryvsCCC",0,77,155,286,85,25,343,127,117,20,50,16,23,22,0,35
"Acerv_evm.model.Segkk2971_pilon.2",7208.17012532352,-1.7840588313645,0.720276946042705,-2.47690675255727,0.0132526520937201,0.0401182345472532,"NurseryvsCCC",39,1976,15832,25511,24165,8974,27222,21375,3991,5649,17155,8584,2034,484,0,13207
