gene_id,1087_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1089_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1090_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1091_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1092_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1096_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1097_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1098_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1099_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2263_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2265_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2266_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2267_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2268_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2382_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2383_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2384_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf
Acerv_evm.model.Segkk3198_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk971_pilon.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34352,3,77,62,8,69,118,1,1,1,110,199,71,95,68,7,0,25
MSTRG.208,0,1,88,0,2,3,0,0,0,21,1,0,4,32,1,0,0
MSTRG.46733,0,31,243,249,27,58,19,3,37,0,0,0,0,0,0,0,0
MSTRG.204,0,0,258,0,74,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.205,57,75,11,13,2,70,3,3,6,7,0,65,3,25,6,2,1
MSTRG.206,0,46,22,7,0,30,0,0,2,0,2,43,5,0,5,0,11
MSTRG.207,4,106,0,0,0,153,16,0,0,0,0,0,0,0,40,1,0
MSTRG.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.202,13,162,567,407,80,36,145,211,113,12,85,35,40,0,7,0,86
MSTRG.203,4,1504,646,738,319,430,202,51,721,233,368,549,545,656,235,0,70
Acerv_evm.model.Segkk637_pilon.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32824,0,1152,621,709,598,1055,5,0,83,824,410,1505,1086,624,387,3,204
Acerv_evm.TU.Segkk1889_pilon.4,0,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk301_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9992,0,1853,929,1116,702,437,0,39,177,523,1107,1557,1591,1091,635,5,367
MSTRG.9990,0,0,75,0,167,160,0,0,0,236,0,196,260,231,81,0,0
MSTRG.9991,0,114,59,49,96,113,1,0,0,143,88,14,133,70,45,0,4
MSTRG.9996,0,0,0,0,0,0,0,0,0,36,0,0,54,0,0,0,0
MSTRG.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9995,0,954,693,544,457,606,0,0,45,718,711,1231,808,1144,415,0,0
MSTRG.9998,0,271,354,395,276,196,0,0,159,88,206,417,230,42,102,0,44
MSTRG.9999,2,7442,3437,2743,1374,2281,87,4,731,2897,3737,2457,3926,3356,1334,4,1354
MSTRG.551,0,12,183,82,93,26,16,12,35,35,0,223,11,1,7,0,118
MSTRG.17585,5,465,382,257,180,427,2,12,134,552,584,653,498,839,220,4,62
Acerv_evm.TU.Segkk296_pilon.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.16994,0,74,71,30,31,81,0,0,24,94,84,39,129,113,48,0,62
Acerv_evm.model.Segkk2061_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3535_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2140_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.12873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.23424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
