Plot Title: KBN.12.08.21,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 21236769, SEN S/N: 21236769)","Intensity, lum/ft² (LGR S/N: 21236769, SEN S/N: 21236769)",Coupler Attached (LGR S/N: 21236769),Host Connected (LGR S/N: 21236769),Stopped (LGR S/N: 21236769),End Of File (LGR S/N: 21236769)
389,1/9/2022 18:00,24.738,0,,,,
390,1/9/2022 20:00,24.641,0,,,,
391,1/9/2022 22:00,24.738,0,,,,
392,1/10/2022 0:00,25.028,0,,,,
393,1/10/2022 2:00,25.513,0,,,,
394,1/10/2022 4:00,25.416,0,,,,
395,1/10/2022 6:00,25.319,0,,,,
396,1/10/2022 8:00,25.125,39,,,,
397,1/10/2022 10:00,24.835,62,,,,
398,1/10/2022 12:00,24.931,152,,,,
399,1/10/2022 14:00,25.805,168,,,,
400,1/10/2022 16:00,25.61,320,,,,
401,1/10/2022 18:00,25.319,0,,,,
402,1/10/2022 20:00,25.416,0,,,,
403,1/10/2022 22:00,25.222,0,,,,
404,1/11/2022 0:00,24.931,0,,,,
405,1/11/2022 2:00,24.931,0,,,,
406,1/11/2022 4:00,25.222,0,,,,
407,1/11/2022 6:00,24.931,0,,,,
408,1/11/2022 8:00,25.222,23,,,,
409,1/11/2022 10:00,25.805,136,,,,
410,1/11/2022 12:00,25.513,87,,,,
411,1/11/2022 14:00,26,144,,,,
412,1/11/2022 16:00,25.61,128,,,,
413,1/11/2022 18:00,25.416,0,,,,
414,1/11/2022 20:00,25.319,0,,,,
415,1/11/2022 22:00,25.028,0,,,,
416,1/12/2022 0:00,25.028,0,,,,
417,1/12/2022 2:00,25.319,0,,,,
418,1/12/2022 4:00,25.416,0,,,,
419,1/12/2022 6:00,25.319,0,,,,
420,1/12/2022 8:00,24.835,0,,,,
421,1/12/2022 10:00,24.738,53,,,,
422,1/12/2022 12:00,24.835,57,,,,
423,1/12/2022 14:00,25.222,53,,,,
424,1/12/2022 16:00,25.222,29,,,,
425,1/12/2022 18:00,25.222,0,,,,
426,1/12/2022 20:00,25.222,0,,,,
427,1/12/2022 22:00,25.028,0,,,,
428,1/13/2022 0:00,24.931,0,,,,
429,1/13/2022 2:00,25.125,0,,,,
430,1/13/2022 4:00,25.319,0,,,,
431,1/13/2022 6:00,25.319,0,,,,
432,1/13/2022 8:00,25.319,8,,,,
433,1/13/2022 10:00,25.319,121,,,,
434,1/13/2022 12:00,25.805,160,,,,
435,1/13/2022 14:00,25.708,87,,,,
436,1/13/2022 16:00,25.708,63,,,,
437,1/13/2022 18:00,25.416,0,,,,
438,1/13/2022 20:00,25.319,0,,,,
439,1/13/2022 22:00,25.125,0,,,,
440,1/14/2022 0:00,24.931,0,,,,
441,1/14/2022 2:00,24.835,0,,,,
442,1/14/2022 4:00,24.835,0,,,,
443,1/14/2022 6:00,24.931,0,,,,
444,1/14/2022 8:00,24.931,27,,,,
445,1/14/2022 10:00,25.222,80,,,,
446,1/14/2022 12:00,24.835,136,,,,
447,1/14/2022 14:00,25.125,152,,,,
448,1/14/2022 16:00,25.028,128,,,,
449,1/14/2022 18:00,25.028,0,,,,
450,1/14/2022 20:00,24.835,0,,,,
451,1/14/2022 22:00,24.448,0,,,,
452,1/15/2022 0:00,24.158,0,,,,
453,1/15/2022 2:00,23.966,0,,,,
454,1/15/2022 4:00,24.448,0,,,,
455,1/15/2022 6:00,24.448,0,,,,
456,1/15/2022 8:00,24.641,33,,,,
457,1/15/2022 10:00,25.028,704,,,,
458,1/15/2022 12:00,25.028,800,,,,
459,1/15/2022 14:00,24.931,704,,,,
460,1/15/2022 16:00,24.835,121,,,,
461,1/15/2022 18:00,24.931,1,,,,
462,1/15/2022 20:00,24.931,0,,,,
463,1/15/2022 22:00,24.835,0,,,,
464,1/16/2022 0:00,24.545,0,,,,
465,1/16/2022 2:00,24.545,0,,,,
466,1/16/2022 4:00,24.255,0,,,,
467,1/16/2022 6:00,24.641,0,,,,
468,1/16/2022 8:00,24.835,21,,,,
469,1/16/2022 10:00,24.835,42,,,,
470,1/16/2022 12:00,24.255,89,,,,
471,1/16/2022 14:00,23.581,10,,,,
472,1/16/2022 16:00,23.677,9,,,,
473,1/16/2022 18:00,24.351,0,,,,
474,1/16/2022 20:00,24.255,0,,,,
475,1/16/2022 22:00,23.196,0,,,,
476,1/17/2022 0:00,22.429,0,,,,
477,1/17/2022 2:00,22.429,0,,,,
478,1/17/2022 4:00,22.621,0,,,,
479,1/17/2022 6:00,24.062,0,,,,
480,1/17/2022 8:00,24.738,19,,,,
481,1/17/2022 10:00,24.931,118,,,,
482,1/17/2022 12:00,24.835,352,,,,
483,1/17/2022 14:00,24.255,272,,,,
484,1/17/2022 16:00,24.158,128,,,,
485,1/17/2022 18:00,24.641,1,,,,
486,1/17/2022 20:00,24.835,0,,,,
487,1/17/2022 22:00,24.641,0,,,,
488,1/18/2022 0:00,23.966,0,,,,
489,1/18/2022 2:00,22.717,0,,,,
490,1/18/2022 4:00,22.429,0,,,,
491,1/18/2022 6:00,23.581,0,,,,
492,1/18/2022 8:00,24.158,29,,,,
493,1/18/2022 10:00,24.448,240,,,,
494,1/18/2022 12:00,23.004,576,,,,
495,1/18/2022 14:00,21.76,240,,,,
496,1/18/2022 16:00,21.569,87,,,,
497,1/18/2022 18:00,21.473,0,,,,
498,1/18/2022 20:00,22.333,0,,,,
499,1/18/2022 22:00,22.333,0,,,,
500,1/19/2022 0:00,22.429,0,,,,
501,1/19/2022 2:00,21.664,0,,,,
502,1/19/2022 4:00,22.429,0,,,,
503,1/19/2022 6:00,22.717,0,,,,
504,1/19/2022 8:00,23.581,20,,,,
505,1/19/2022 10:00,24.255,106,,,,
506,1/19/2022 12:00,23.966,272,,,,
507,1/19/2022 14:00,23.773,114,,,,
508,1/19/2022 16:00,23.196,62,,,,
509,1/19/2022 18:00,24.062,1,,,,
510,1/19/2022 20:00,24.448,0,,,,
511,1/19/2022 22:00,24.448,0,,,,
512,1/20/2022 0:00,24.351,0,,,,
513,1/20/2022 2:00,23.869,0,,,,
514,1/20/2022 4:00,23.388,0,,,,
515,1/20/2022 6:00,23.966,0,,,,
516,1/20/2022 8:00,24.158,19,,,,
517,1/20/2022 10:00,24.255,74,,,,
518,1/20/2022 12:00,23.484,116,,,,
519,1/20/2022 14:00,23.004,101,,,,
520,1/20/2022 16:00,22.429,77,,,,
521,1/20/2022 18:00,22.238,0,,,,
522,1/20/2022 20:00,23.581,0,,,,
523,1/20/2022 22:00,23.677,0,,,,
524,1/21/2022 0:00,23.773,0,,,,
525,1/21/2022 2:00,23.966,0,,,,
526,1/21/2022 4:00,23.869,0,,,,
527,1/21/2022 6:00,23.966,0,,,,
528,1/21/2022 8:00,23.966,13,,,,
529,1/21/2022 10:00,24.351,99,,,,
530,1/21/2022 12:00,24.351,100,,,,
531,1/21/2022 14:00,24.255,105,,,,
532,1/21/2022 16:00,24.158,49,,,,
533,1/21/2022 18:00,24.158,0,,,,
534,1/21/2022 20:00,24.448,0,,,,
535,1/21/2022 22:00,24.448,0,,,,
536,1/22/2022 0:00,24.351,0,,,,
537,1/22/2022 2:00,24.448,0,,,,
538,1/22/2022 4:00,24.448,0,,,,
539,1/22/2022 6:00,24.448,0,,,,
540,1/22/2022 8:00,24.351,14,,,,
541,1/22/2022 10:00,24.448,71,,,,
542,1/22/2022 12:00,24.545,120,,,,
543,1/22/2022 14:00,24.448,70,,,,
544,1/22/2022 16:00,23.966,33,,,,
545,1/22/2022 18:00,23.581,0,,,,
546,1/22/2022 20:00,23.677,0,,,,
547,1/22/2022 22:00,23.773,0,,,,
548,1/23/2022 0:00,23.869,0,,,,
549,1/23/2022 2:00,23.869,0,,,,
550,1/23/2022 4:00,23.581,0,,,,
551,1/23/2022 6:00,23.292,0,,,,
552,1/23/2022 8:00,23.292,13,,,,
553,1/23/2022 10:00,23.677,65,,,,
554,1/23/2022 12:00,23.869,98,,,,
555,1/23/2022 14:00,23.773,104,,,,
556,1/23/2022 16:00,23.677,33,,,,
557,1/23/2022 18:00,23.484,0,,,,
558,1/23/2022 20:00,23.388,0,,,,
559,1/23/2022 22:00,23.388,0,,,,
560,1/24/2022 0:00,23.484,0,,,,
561,1/24/2022 2:00,23.292,0,,,,
562,1/24/2022 4:00,22.908,0,,,,
563,1/24/2022 6:00,23.004,0,,,,
564,1/24/2022 8:00,23.004,21,,,,
565,1/24/2022 10:00,23.581,97,,,,
566,1/24/2022 12:00,23.581,304,,,,
567,1/24/2022 14:00,23.677,288,,,,
568,1/24/2022 16:00,23.966,168,,,,
569,1/24/2022 18:00,24.062,1,,,,
570,1/24/2022 20:00,23.966,0,,,,
571,1/24/2022 22:00,24.062,0,,,,
572,1/25/2022 0:00,24.062,0,,,,
573,1/25/2022 2:00,24.255,0,,,,
574,1/25/2022 4:00,24.062,0,,,,
575,1/25/2022 6:00,23.773,0,,,,
576,1/25/2022 8:00,23.773,21,,,,
577,1/25/2022 10:00,24.351,123,,,,
578,1/25/2022 12:00,24.835,200,,,,
579,1/25/2022 14:00,24.835,512,,,,
580,1/25/2022 16:00,24.545,400,,,,
