"Plot Title: KBN_5.28.2021"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21085862, SEN S/N: 21085862)","Coupler Attached (LGR S/N: 21085862)","Host Connected (LGR S/N: 21085862)","Stopped (LGR S/N: 21085862)","End Of File (LGR S/N: 21085862)"
347,06/26/21 05:00:00 AM,28.456,,,,
348,06/26/21 07:00:00 AM,28.456,,,,
349,06/26/21 09:00:00 AM,28.853,,,,
350,06/26/21 11:00:00 AM,28.655,,,,
351,06/26/21 01:00:00 PM,28.953,,,,
352,06/26/21 03:00:00 PM,29.152,,,,
353,06/26/21 05:00:00 PM,29.053,,,,
354,06/26/21 07:00:00 PM,29.053,,,,
355,06/26/21 09:00:00 PM,28.853,,,,
356,06/26/21 11:00:00 PM,28.655,,,,
357,06/27/21 01:00:00 AM,28.555,,,,
358,06/27/21 03:00:00 AM,28.655,,,,
359,06/27/21 05:00:00 AM,28.754,,,,
360,06/27/21 07:00:00 AM,28.754,,,,
361,06/27/21 09:00:00 AM,28.953,,,,
362,06/27/21 11:00:00 AM,28.953,,,,
363,06/27/21 01:00:00 PM,28.953,,,,
364,06/27/21 03:00:00 PM,29.352,,,,
365,06/27/21 05:00:00 PM,29.452,,,,
366,06/27/21 07:00:00 PM,29.152,,,,
367,06/27/21 09:00:00 PM,28.953,,,,
368,06/27/21 11:00:00 PM,28.555,,,,
369,06/28/21 01:00:00 AM,28.456,,,,
370,06/28/21 03:00:00 AM,28.456,,,,
371,06/28/21 05:00:00 AM,28.853,,,,
372,06/28/21 07:00:00 AM,28.853,,,,
373,06/28/21 09:00:00 AM,29.053,,,,
374,06/28/21 11:00:00 AM,28.555,,,,
375,06/28/21 01:00:00 PM,28.754,,,,
376,06/28/21 03:00:00 PM,28.754,,,,
377,06/28/21 05:00:00 PM,28.655,,,,
378,06/28/21 07:00:00 PM,28.655,,,,
379,06/28/21 09:00:00 PM,28.555,,,,
380,06/28/21 11:00:00 PM,28.456,,,,
381,06/29/21 01:00:00 AM,28.258,,,,
382,06/29/21 03:00:00 AM,28.159,,,,
383,06/29/21 05:00:00 AM,28.060,,,,
384,06/29/21 07:00:00 AM,28.456,,,,
385,06/29/21 09:00:00 AM,28.655,,,,
386,06/29/21 11:00:00 AM,28.853,,,,
387,06/29/21 01:00:00 PM,29.053,,,,
388,06/29/21 03:00:00 PM,28.953,,,,
389,06/29/21 05:00:00 PM,28.853,,,,
390,06/29/21 07:00:00 PM,28.853,,,,
391,06/29/21 09:00:00 PM,28.853,,,,
392,06/29/21 11:00:00 PM,28.754,,,,
393,06/30/21 01:00:00 AM,28.754,,,,
394,06/30/21 03:00:00 AM,28.555,,,,
395,06/30/21 05:00:00 AM,28.555,,,,
396,06/30/21 07:00:00 AM,28.655,,,,
397,06/30/21 09:00:00 AM,28.853,,,,
398,06/30/21 11:00:00 AM,28.655,,,,
399,06/30/21 01:00:00 PM,28.555,,,,
400,06/30/21 03:00:00 PM,28.655,,,,
401,06/30/21 05:00:00 PM,28.555,,,,
402,06/30/21 07:00:00 PM,28.555,,,,
403,06/30/21 09:00:00 PM,28.456,,,,
404,06/30/21 11:00:00 PM,28.456,,,,
405,07/01/21 01:00:00 AM,28.258,,,,
406,07/01/21 03:00:00 AM,27.961,,,,
407,07/01/21 05:00:00 AM,28.060,,,,
408,07/01/21 07:00:00 AM,28.060,,,,
409,07/01/21 09:00:00 AM,28.456,,,,
410,07/01/21 11:00:00 AM,28.555,,,,
411,07/01/21 01:00:00 PM,28.555,,,,
412,07/01/21 03:00:00 PM,29.152,,,,
413,07/01/21 05:00:00 PM,28.754,,,,
414,07/01/21 07:00:00 PM,28.655,,,,
415,07/01/21 09:00:00 PM,28.555,,,,
416,07/01/21 11:00:00 PM,28.555,,,,
417,07/02/21 01:00:00 AM,28.456,,,,
418,07/02/21 03:00:00 AM,28.258,,,,
419,07/02/21 05:00:00 AM,28.258,,,,
420,07/02/21 07:00:00 AM,28.258,,,,
421,07/02/21 09:00:00 AM,28.456,,,,
422,07/02/21 11:00:00 AM,28.853,,,,
423,07/02/21 01:00:00 PM,28.754,,,,
424,07/02/21 03:00:00 PM,28.754,,,,
425,07/02/21 05:00:00 PM,28.853,,,,
426,07/02/21 07:00:00 PM,28.655,,,,
427,07/02/21 09:00:00 PM,28.655,,,,
428,07/02/21 11:00:00 PM,28.555,,,,
429,07/03/21 01:00:00 AM,28.655,,,,
430,07/03/21 03:00:00 AM,28.655,,,,
431,07/03/21 05:00:00 AM,28.655,,,,
432,07/03/21 07:00:00 AM,28.655,,,,
433,07/03/21 09:00:00 AM,28.953,,,,
434,07/03/21 11:00:00 AM,28.953,,,,
435,07/03/21 01:00:00 PM,28.953,,,,
436,07/03/21 03:00:00 PM,29.053,,,,
437,07/03/21 05:00:00 PM,29.152,,,,
438,07/03/21 07:00:00 PM,29.352,,,,
439,07/03/21 09:00:00 PM,29.452,,,,
440,07/03/21 11:00:00 PM,29.452,,,,
441,07/04/21 01:00:00 AM,29.452,,,,
442,07/04/21 03:00:00 AM,29.152,,,,
443,07/04/21 05:00:00 AM,29.053,,,,
444,07/04/21 07:00:00 AM,29.053,,,,
445,07/04/21 09:00:00 AM,29.352,,,,
446,07/04/21 11:00:00 AM,29.652,,,,
447,07/04/21 01:00:00 PM,29.552,,,,
448,07/04/21 03:00:00 PM,29.853,,,,
449,07/04/21 05:00:00 PM,29.652,,,,
450,07/04/21 07:00:00 PM,29.152,,,,
451,07/04/21 09:00:00 PM,29.053,,,,
452,07/04/21 11:00:00 PM,29.652,,,,
453,07/05/21 01:00:00 AM,29.252,,,,
454,07/05/21 03:00:00 AM,29.452,,,,
455,07/05/21 05:00:00 AM,29.152,,,,
456,07/05/21 07:00:00 AM,28.853,,,,
457,07/05/21 09:00:00 AM,29.053,,,,
458,07/05/21 11:00:00 AM,29.652,,,,
459,07/05/21 01:00:00 PM,29.652,,,,
460,07/05/21 03:00:00 PM,29.552,,,,
461,07/05/21 05:00:00 PM,29.152,,,,
462,07/05/21 07:00:00 PM,28.754,,,,
463,07/05/21 09:00:00 PM,28.555,,,,
464,07/05/21 11:00:00 PM,28.754,,,,
465,07/06/21 01:00:00 AM,28.953,,,,
466,07/06/21 03:00:00 AM,28.953,,,,
467,07/06/21 05:00:00 AM,28.655,,,,
468,07/06/21 07:00:00 AM,28.655,,,,
469,07/06/21 09:00:00 AM,28.655,,,,
470,07/06/21 11:00:00 AM,28.754,,,,
471,07/06/21 01:00:00 PM,28.754,,,,
472,07/06/21 03:00:00 PM,28.754,,,,
473,07/06/21 05:00:00 PM,28.754,,,,
474,07/06/21 07:00:00 PM,28.853,,,,
475,07/06/21 09:00:00 PM,28.754,,,,
476,07/06/21 11:00:00 PM,28.754,,,,
477,07/07/21 01:00:00 AM,28.655,,,,
478,07/07/21 03:00:00 AM,28.555,,,,
479,07/07/21 05:00:00 AM,28.655,,,,
480,07/07/21 07:00:00 AM,28.357,,,,
481,07/07/21 09:00:00 AM,28.159,,,,
482,07/07/21 11:00:00 AM,28.258,,,,
483,07/07/21 01:00:00 PM,28.655,,,,
484,07/07/21 03:00:00 PM,28.754,,,,
