gene,"datExpr[1, moduleColors == which.module]"
Acropora_001297,6.06872428280931
Acropora_001298,8.200691647047277
Acropora_001306,7.813230996932209
Acropora_001319,6.06872428280931
Acropora_001320,7.462272571026581
Acropora_001327,8.172551851974186
Acropora_001332,6.223046340464026
Acropora_001335,6.662496331467251
Acropora_001338,7.223578425951471
Acropora_001339,9.264631864211909
Acropora_001346,6.06872428280931
Acropora_001347,7.05028102199172
Acropora_001351,6.06872428280931
Acropora_001356,9.743152370875547
Acropora_001360,10.08230404282664
Acropora_001372,6.06872428280931
Acropora_001377,7.277805825655534
Acropora_001378,8.361411951450831
Acropora_001379,7.896895151677735
Acropora_001380,6.7693488052258655
Acropora_001402,7.175923451323854
Acropora_001411,6.70025939099947
Acropora_001415,6.06872428280931
Acropora_001432,6.503770889236268
Acropora_001437,7.125695651075269
Acropora_001438,6.846536118484794
Acropora_001440,6.06872428280931
Acropora_001441,6.06872428280931
Acropora_001446,6.06872428280931
Acropora_001458,8.04446149362824
Acropora_001475,6.846536118484794
Acropora_001497,8.783818917284627
Acropora_001502,8.4131747677818165
Acropora_001506,6.889073626325562
Acropora_001507,6.7855089078558395
Acropora_001518,6.662496331467251
Acropora_001521,6.335764003414168
Acropora_001523,6.335764003414168
Acropora_001524,6.445840252729181
Acropora_001526,12.569087397318647
Acropora_001528,11.428155275231012
Acropora_001530,6.413144937743301
Acropora_001531,7.061462071433767
Acropora_001534,6.860994552003567
Acropora_001545,6.662496331467251
Acropora_001546,7.926853252593246
Acropora_001558,6.529944592115023
Acropora_001560,6.681686024153914
Acropora_001583,6.06872428280931
Acropora_001585,6.06872428280931
Acropora_001586,6.70025939099947
Acropora_001587,7.251069703191703
Acropora_001600,6.06872428280931
Acropora_001601,7.125695651075269
Acropora_001603,8.725944247855493
Acropora_001605,6.06872428280931
Acropora_001608,6.06872428280931
Acropora_001611,8.67112478491954
Acropora_001613,6.06872428280931
Acropora_001616,6.413144937743301
Acropora_001617,6.286864832792452
Acropora_001623,6.801284460174952
Acropora_001628,6.376929150798669
Acropora_001630,6.801284460174952
Acropora_001634,6.06872428280931
Acropora_001644,6.06872428280931
Acropora_001654,7.156161090892288
Acropora_001657,10.274244840726768
Acropora_001660,7.232829461685154
Acropora_001662,6.554665750878717
Acropora_001663,6.662496331467251
Acropora_001665,9.602289498582214
Acropora_001667,6.662496331467251
Acropora_001668,6.06872428280931
Acropora_001670,10.875336407194595
Acropora_001671,6.7527767682399675
Acropora_001680,7.146118664078537
Acropora_001684,6.335764003414168
Acropora_001687,7.320822642997322
Acropora_001689,6.06872428280931
Acropora_001691,6.70025939099947
Acropora_001694,8.354355440490343
Acropora_001705,6.718269447106134
