"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"MSTRG.14931",28,5693,2948,2126,1949,218,47,1048,3117,2725,4643,6617,5368,1553,20,1539
"MSTRG.14933",3,1053,1322,1859,783,444,146,697,1467,1280,1671,904,955,469,0,811
"MSTRG.31368",2,2114,1181,1341,779,25,6,208,2573,2280,2484,3403,2402,1301,9,497
"MSTRG.23806",1,202,216,223,335,15,28,79,171,264,426,375,398,131,1,210
"MSTRG.20388",2,45,559,1331,387,97,131,281,114,52,377,350,18,30,0,462
"MSTRG.22040",3,460,263,340,298,10,25,152,412,220,426,286,270,128,18,110
"MSTRG.17778",20,1604,324,290,57,134,7,290,78,51,248,140,7,88,0,87
"MSTRG.5574",4,1152,793,567,471,6,0,107,955,763,691,658,1072,260,8,92
"MSTRG.17772",124,709,372,338,337,8,83,36,283,744,247,431,337,213,0,116
"MSTRG.27633",21,2412,1687,584,245,126,84,178,100,58,285,138,65,34,0,22
"MSTRG.27637",7,1508,372,420,318,75,5,315,316,606,173,388,423,211,14,252
"MSTRG.25777",206,55776,30110,18374,17750,3345,2965,11833,25837,23442,30441,39367,44988,16017,138,8043
"MSTRG.2836",5,103,178,203,124,238,64,94,67,9,14,61,75,19,0,6
