"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk708_pilon.8",0,1000,951,1140,1083,237,178,441,1282,1646,2963,2000,2127,621,0,887
"Acerv_evm.model.Segkk713_pilon.9",0,245,348,162,218,1280,524,548,73,140,320,109,40,17,0,126
"Acerv_evm.model.Segkk713_pilon.2",0,73,489,546,525,564,211,412,92,185,429,201,82,13,0,249
"Acerv_evm.model.Segkk714_pilon.16",7,621,1559,1655,1035,952,244,1214,433,524,848,263,435,108,0,390
"Acerv_evm.model.Segkk717_pilon.4",77,12038,6387,5500,4954,1991,296,4524,9303,7874,12159,13833,12978,5504,60,6709
"Acerv_evm.model.Segkk718_pilon.1",0,10,396,559,306,151,977,254,96,18,289,142,97,20,0,701
"Acerv_evm.model.Segkk721_pilon.14",22,98,99,46,72,47,27,22,62,45,102,19,77,86,0,58
"Acerv_evm.model.Segkk723_pilon.7",0,530,2315,1980,977,313,736,886,648,457,1161,384,371,153,0,255
"Acerv_evm.model.Segkk736_pilon.1",0,112,334,389,205,60,247,325,110,89,224,135,69,17,0,93
"Acerv_evm.model.Segkk740_pilon.5",0,214,736,514,538,7,190,385,142,369,624,232,407,64,0,235
"Acerv_evm.model.Segkk742_pilon.12",0,108,172,202,108,27,31,96,135,44,127,207,176,66,0,79
"Acerv_evm.model.Segkk742_pilon.2",0,14,241,430,281,7,19,185,40,51,318,27,119,12,0,161
"Acerv_evm.model.Segkk757_pilon.3",0,133,546,802,607,270,195,561,192,350,627,256,115,34,0,276
"Acerv_evm.model.Segkk759_pilon.6",0,384,768,1296,691,40,426,248,401,241,701,216,228,89,0,79
"Acerv_evm.model.Segkk759_pilon.14",46,139,2285,1612,541,322,78,1053,203,253,394,220,37,172,0,725
"Acerv_evm.model.Segkk767_pilon.16",2,100,621,404,322,105,292,267,163,64,504,158,72,10,0,58
"Acerv_evm.model.Segkk779_pilon.10",0,65,77,205,56,33,127,15,20,33,181,142,10,33,0,15
"Acerv_evm.model.Segkk782_pilon.5",2,145,707,1142,373,220,26,1376,113,362,434,229,212,47,0,284
"Acerv_evm.model.Segkk783_pilon.1",0,80,543,756,401,125,201,427,127,113,540,210,54,18,0,321
"Acerv_evm.model.Segkk785_pilon.7",8,72,142,287,304,122,343,208,95,77,122,14,112,21,0,140
"Acerv_evm.model.Segkk785_pilon.8",0,453,316,552,299,30,81,66,203,481,697,257,515,139,0,19
"Acerv_evm.model.Segkk785_pilon.1",0,195,468,1112,1357,76,311,929,310,317,515,196,99,127,0,585
"Acerv_evm.model.Segkk786_pilon.8",0,39,553,924,500,36,142,305,43,94,509,234,36,20,0,249
"Acerv_evm.model.Segkk789_pilon.37",0,217,398,830,676,6,15,205,336,148,831,475,209,53,0,255
