"Plot Title: KBNursery1.09.18"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20194578, SEN S/N: 20194578)","Intensity, lum/ft² (LGR S/N: 20194578, SEN S/N: 20194578)","End Of File (LGR S/N: 20194578)"
314,02/04/18 10:00:00 AM,74.271,128.0,
315,02/04/18 12:00:00 PM,74.964,336.0,
316,02/04/18 02:00:00 PM,74.964,184.0,
317,02/04/18 04:00:00 PM,74.446,152.0,
318,02/04/18 06:00:00 PM,74.098,3.0,
319,02/04/18 08:00:00 PM,73.926,0.0,
320,02/04/18 10:00:00 PM,74.446,0.0,
321,02/05/18 12:00:00 AM,74.446,0.0,
322,02/05/18 02:00:00 AM,74.446,0.0,
323,02/05/18 04:00:00 AM,74.446,0.0,
324,02/05/18 06:00:00 AM,74.271,0.0,
325,02/05/18 08:00:00 AM,74.271,28.0,
326,02/05/18 10:00:00 AM,74.791,144.0,
327,02/05/18 12:00:00 PM,74.964,152.0,
328,02/05/18 02:00:00 PM,74.964,248.0,
329,02/05/18 04:00:00 PM,74.791,90.0,
330,02/05/18 06:00:00 PM,74.446,1.0,
331,02/05/18 08:00:00 PM,74.271,0.0,
332,02/05/18 10:00:00 PM,74.619,0.0,
333,02/06/18 12:00:00 AM,74.271,0.0,
334,02/06/18 02:00:00 AM,74.446,0.0,
335,02/06/18 04:00:00 AM,74.098,0.0,
336,02/06/18 06:00:00 AM,74.098,0.0,
337,02/06/18 08:00:00 AM,74.098,17.0,
338,02/06/18 10:00:00 AM,74.271,69.0,
339,02/06/18 12:00:00 PM,74.446,78.0,
340,02/06/18 02:00:00 PM,74.446,70.0,
341,02/06/18 04:00:00 PM,74.446,96.0,
342,02/06/18 06:00:00 PM,74.446,3.0,
343,02/06/18 08:00:00 PM,74.098,0.0,
344,02/06/18 10:00:00 PM,74.098,0.0,
345,02/07/18 12:00:00 AM,74.271,0.0,
346,02/07/18 02:00:00 AM,74.446,0.0,
347,02/07/18 04:00:00 AM,74.271,0.0,
348,02/07/18 06:00:00 AM,74.271,0.0,
349,02/07/18 08:00:00 AM,74.098,24.0,
350,02/07/18 10:00:00 AM,74.271,128.0,
351,02/07/18 12:00:00 PM,75.139,216.0,
352,02/07/18 02:00:00 PM,75.312,160.0,
